step,time_s,ncon,A_heel_n,A_mid_n,A_toe_n,U_heel_n,U_mid_n,U_toe_n,A_total_n,U_total_n,A_heel,A_mid,A_toe,U_heel,U_mid,U_toe,A_contact,U_contact
51,0.51,4,0.0,3.1073165378307346,170.42015994330438,310.5460739190348,66.10533593588016,0.0,173.52747648113512,376.65140985491496,0,0,17,32,7,0,1,1
52,0.52,2,0.0,1.0881722631340656,184.16873165574498,270.8560365968868,57.80821179967536,0.0,185.25690391887903,328.66424839656213,0,0,19,28,6,0,1,1
53,0.53,2,0.0,1.2427456395578909,201.43749032925257,248.50004056605502,53.070286694909754,0.0,202.68023596881045,301.57032726096475,0,0,21,25,5,0,1,1
54,0.54,2,0.0,1.3312387314820247,204.57326506671097,246.05826830321382,52.53624603569881,0.0,205.904503798193,298.59451433891263,0,0,21,25,5,0,1,1
55,0.55,2,0.0,1.3913211848781655,200.2315482844998,261.7691803296481,55.84397827046385,0.0,201.62286946937797,317.613158600112,0,0,21,27,6,0,1,1
56,0.56,2,0.0,1.5081464289565436,199.07452253275966,348.0741028659142,91.6002886605975,0.0,200.5826689617162,439.6743915265117,0,0,20,36,9,0,1,1
57,0.5700000000000001,2,0.0,1.1177334250592361,202.76390162521676,353.16332201578473,92.80357676597431,0.0,203.881635050276,445.966898781759,0,0,21,36,10,0,1,1
58,0.58,2,0.0,1.3620478571978862,214.3703173824289,368.5890885968726,99.92825948702588,0.0,215.7323652396268,468.51734808389847,0,0,22,38,10,0,1,1
59,0.59,3,0.0,1.670805803639003,221.12703214420603,575.0084038609493,210.87348444177076,134.23594383707976,222.79783794784504,920.1178321397998,0,0,23,59,22,14,1,1
60,0.6,3,0.0,1.9468994670038478,216.0218037860906,593.6656241811944,213.00427173785036,127.0165489108197,217.96870325309445,933.6864448298644,0,0,22,61,22,13,1,1
61,0.61,5,0.0,2.110427422895058,212.73929618130035,600.7876891996714,209.6592889892487,114.2939878248124,214.84972360419542,924.7409660137325,0,0,22,62,21,12,1,1
62,0.62,5,0.0,2.033081341894221,181.41537293650356,608.8082012325654,208.256473232039,105.86164093702152,183.44845427839778,922.926315401626,0,0,19,62,21,11,1,1
63,0.63,5,0.0,1.6133536141731535,135.991041286593,614.4472180882929,207.29164658521603,100.06083935447346,137.60439490076615,921.7997040279824,0,0,14,63,21,10,1,1
64,0.64,6,0.0,0.9451061622665593,81.46935442205123,631.5486002142021,195.77001484510714,107.80485768144052,82.41446058431778,935.1234727407498,0,0,8,65,20,11,1,1
65,0.65,7,0.0,0.36813680521841136,35.02080603596668,618.7437680345029,186.43160222435017,106.98965715828282,35.38894284118509,912.1650274171359,0,0,4,63,19,11,1,1
66,0.66,7,0.0,0.39065230651315863,44.047857636003386,573.4842675430009,174.24216613711198,103.70531257889137,44.438509942516546,851.4317462590043,0,0,5,59,18,11,1,1
67,0.67,7,0.0,0.5650279626969068,78.08354305124769,505.1927289523021,155.80144224155325,99.47679716284922,78.64857101394459,760.4709683567046,0,0,8,52,16,10,1,1
68,0.68,7,0.0,0.768393143247712,128.7165499477784,428.52183659327534,135.03491056096667,93.7922823955337,129.4849430910261,657.3490295497757,0,0,13,44,14,10,1,1
69,0.6900000000000001,7,0.0,0.8569212793926093,178.80091137311706,362.41449469789194,114.04350175027749,91.50781841873217,179.65783265250968,567.9658148669016,0,0,18,37,12,9,1,1
