step,time_s,ncon,r_hindfoot_n,r_forefoot_n,l_hindfoot_n,l_forefoot_n,r_total_n,l_total_n,r_contact,l_contact
112,1.12,1,0.0,39.89488808088591,0.0,0.0,39.89488808088591,0.0,1,0
113,1.1300000000000001,1,0.0,52.95806054434952,0.0,0.0,52.95806054434952,0.0,1,0
114,1.1400000000000001,1,0.0,61.673611021467366,0.0,0.0,61.673611021467366,0.0,1,0
115,1.1500000000000001,1,0.0,66.1917222492587,0.0,0.0,66.1917222492587,0.0,1,0
116,1.16,1,0.0,70.37228709737963,0.0,0.0,70.37228709737963,0.0,1,0
117,1.17,1,0.0,74.53113210449874,0.0,0.0,74.53113210449874,0.0,1,0
118,1.18,1,0.0,81.62510248887895,0.0,0.0,81.62510248887895,0.0,1,0
119,1.19,2,0.0,90.80897955581125,0.0,0.0,90.80897955581125,0.0,1,0
120,1.2,2,0.0,100.95856787264844,0.0,0.0,100.95856787264844,0.0,1,0
121,1.21,2,0.0,111.51167765726595,0.0,0.0,111.51167765726595,0.0,1,0
122,1.22,2,0.0,122.71472338857326,0.0,0.0,122.71472338857326,0.0,1,0
123,1.23,3,0.0,136.05935388198404,594.363330778291,0.0,136.05935388198404,594.363330778291,1,1
124,1.24,4,0.0,151.41101350650905,526.8057635483208,0.0,151.41101350650905,526.8057635483208,1,1
125,1.25,2,0.0,161.83858162496594,457.4841756212732,0.0,161.83858162496594,457.4841756212732,1,1
126,1.26,2,0.0,180.61943801312654,405.4678914949996,0.0,180.61943801312654,405.4678914949996,1,1
127,1.27,2,0.0,195.9272970687332,377.1013027062834,0.0,195.9272970687332,377.1013027062834,1,1
128,1.28,2,0.0,205.4983418303612,492.900716457092,0.0,205.4983418303612,492.900716457092,1,1
129,1.29,2,0.0,210.27221873429926,492.4728940607843,0.0,210.27221873429926,492.4728940607843,1,1
130,1.3,2,0.0,228.2049947713609,490.8635693787554,0.0,228.2049947713609,490.8635693787554,1,1
131,1.31,3,0.0,249.72654448954538,825.0842709805853,251.75849213990335,249.72654448954538,1076.8427631204886,1,1
132,1.32,5,0.0,270.87941851371465,785.7669289192357,219.19172417604503,270.87941851371465,1004.9586530952807,1,1
133,1.33,5,0.0,234.91274224830522,783.1252193654163,188.60639201399965,234.91274224830522,971.731611379416,1,1
134,1.34,5,0.0,163.88756065512268,779.2562669728529,157.96392748936935,163.88756065512268,937.2201944622223,1,1
135,1.35,5,0.0,90.35333841661054,767.8389200693073,134.6975286678509,90.35333841661054,902.5364487371581,1,1
136,1.36,6,0.0,29.859807347816712,756.260898337943,118.19148521082978,29.859807347816712,874.4523835487728,1,1
137,1.37,6,0.0,0.0,701.2818295499826,109.09049413873088,0.0,810.3723236887134,0,1
138,1.3800000000000001,7,0.0,20.732310376849096,650.2586695247376,114.03370302004355,20.732310376849096,764.2923725447811,1,1
139,1.3900000000000001,7,0.0,57.761164319618615,574.7266177514592,114.64624770457046,57.761164319618615,689.3728654560297,1,1
140,1.4000000000000001,7,0.0,106.78730760356704,487.6258536779896,110.17901891010234,106.78730760356704,597.8048725880919,1,1
141,1.41,7,0.0,162.44005870525646,387.38358374128234,100.12182110871791,162.44005870525646,487.5054048500002,1,1
142,1.42,7,0.0,216.4309175321382,299.1949761265001,91.63570499817678,216.4309175321382,390.83068112467686,1,1
143,1.43,5,0.0,252.1627281429939,232.2592704065148,78.64801753634399,252.1627281429939,310.9072879428588,1,1
144,1.44,5,0.0,288.72685277408254,196.90207305828895,64.92203045331559,288.72685277408254,261.82410351160456,1,1
145,1.45,5,0.0,286.6226113027346,188.9517169688865,51.24569389903452,286.6226113027346,240.197410867921,1,1
146,1.46,2,0.0,334.88970066632123,191.2555810675056,0.0,334.88970066632123,191.2555810675056,1,1
147,1.47,2,0.0,405.5337448384837,184.7170940264312,0.0,405.5337448384837,184.7170940264312,1,1
148,1.48,2,0.0,451.7115121645598,178.36327633006186,0.0,451.7115121645598,178.36327633006186,1,1
149,1.49,3,0.0,534.5503088388413,0.0,0.0,534.5503088388413,0.0,1,0
150,1.5,3,0.0,596.1838414742328,0.0,0.0,596.1838414742328,0.0,1,0
151,1.51,3,0.0,649.8983218679074,0.0,0.0,649.8983218679074,0.0,1,0
152,1.52,1,0.0,649.9527987564408,0.0,0.0,649.9527987564408,0.0,1,0
153,1.53,1,0.0,690.9944997069734,0.0,0.0,690.9944997069734,0.0,1,0
154,1.54,1,0.0,747.4171207932528,0.0,0.0,747.4171207932528,0.0,1,0
155,1.55,1,0.0,796.7762815683138,0.0,0.0,796.7762815683138,0.0,1,0
156,1.56,1,0.0,803.4097657719491,0.0,0.0,803.4097657719491,0.0,1,0
157,1.57,1,0.0,806.2007643071679,0.0,0.0,806.2007643071679,0.0,1,0
158,1.58,1,0.0,760.8387795058943,0.0,0.0,760.8387795058943,0.0,1,0
159,1.59,1,0.0,693.3518467643322,0.0,0.0,693.3518467643322,0.0,1,0
160,1.6,1,0.0,611.5484564369932,0.0,0.0,611.5484564369932,0.0,1,0
161,1.61,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
162,1.62,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
163,1.6300000000000001,1,0.0,0.0,0.0,130.22339997848354,0.0,130.22339997848354,0,1
164,1.6400000000000001,1,0.0,0.0,0.0,138.25910309545648,0.0,138.25910309545648,0,1
165,1.6500000000000001,1,0.0,0.0,0.0,134.57196043564267,0.0,134.57196043564267,0,1
166,1.6600000000000001,1,0.0,0.0,0.0,118.31920385588712,0.0,118.31920385588712,0,1
167,1.67,1,0.0,0.0,0.0,101.60493674397537,0.0,101.60493674397537,0,1
168,1.68,1,0.0,0.0,0.0,87.53245675711915,0.0,87.53245675711915,0,1
169,1.69,1,0.0,0.0,0.0,73.27377764608272,0.0,73.27377764608272,0,1
170,1.7,1,0.0,0.0,0.0,61.26247682700261,0.0,61.26247682700261,0,1
171,1.71,1,0.0,0.0,0.0,57.36710273514579,0.0,57.36710273514579,0,1
172,1.72,1,0.0,0.0,0.0,57.2935974039566,0.0,57.2935974039566,0,1
173,1.73,1,0.0,0.0,0.0,60.28056734509131,0.0,60.28056734509131,0,1
174,1.74,1,0.0,0.0,0.0,70.42178445602178,0.0,70.42178445602178,0,1
175,1.75,2,0.0,0.0,0.0,78.37706947834184,0.0,78.37706947834184,0,1
176,1.76,2,0.0,0.0,0.0,77.94575810377115,0.0,77.94575810377115,0,1
177,1.77,2,0.0,0.0,0.0,77.40767983347578,0.0,77.40767983347578,0,1
178,1.78,3,762.7192855933542,0.0,0.0,79.52371072728585,762.7192855933542,79.52371072728585,1,1
179,1.79,4,748.3928879406308,0.0,0.0,84.24395751016822,748.3928879406308,84.24395751016822,1,1
180,1.8,4,682.4951677367611,0.0,0.0,89.17446736015056,682.4951677367611,89.17446736015056,1,1
181,1.81,4,591.3348931489205,0.0,0.0,93.73148927952069,591.3348931489205,93.73148927952069,1,1
182,1.82,2,510.75697037871004,0.0,0.0,97.43713060144171,510.75697037871004,97.43713060144171,1,1
183,1.83,2,589.2151636978901,0.0,0.0,110.7197452086679,589.2151636978901,110.7197452086679,1,1
184,1.84,2,528.3883881073837,0.0,0.0,129.14116809452196,528.3883881073837,129.14116809452196,1,1
185,1.85,2,469.3711539091638,0.0,0.0,152.36139035502103,469.3711539091638,152.36139035502103,1,1
186,1.86,3,584.8359026303183,154.94666437222511,0.0,177.8768892373581,739.7825670025434,177.8768892373581,1,1
187,1.87,3,473.40233633456506,117.9937595000221,0.0,223.20520311111483,591.3960958345872,223.20520311111483,1,1
188,1.8800000000000001,3,387.2485841237359,96.80437576355635,0.0,280.36402299806235,484.0529598872922,280.36402299806235,1,1
189,1.8900000000000001,5,347.45011097604674,101.57232540862033,0.0,370.6644745478347,449.02243638466706,370.6644745478347,1,1
190,1.9000000000000001,7,335.8676479827612,113.87309756377259,0.0,427.490727539319,449.7407455465338,427.490727539319,1,1
191,1.9100000000000001,7,328.53363488802205,122.70171014254579,0.0,457.59543453820993,451.2353450305678,457.59543453820993,1,1
192,1.92,8,308.5616377748593,125.45705424671846,0.0,455.3614754198534,434.01869202157775,455.3614754198534,1,1
193,1.93,8,280.48659244959106,120.35903159097757,0.0,406.95356050222193,400.8456240405686,406.95356050222193,1,1
194,1.94,8,246.37838473654182,110.32989987749608,0.0,378.36962747841517,356.7082846140379,378.36962747841517,1,1
195,1.95,8,223.70979804932395,105.52194491405152,0.0,360.4044381510638,329.2317429633755,360.4044381510638,1,1
196,1.96,8,195.1722858735225,96.28797929372917,0.0,360.8856844988463,291.4602651672517,360.8856844988463,1,1
197,1.97,7,157.37165785695203,84.21586799785867,0.0,381.81730981366263,241.58752585481068,381.81730981366263,1,1
198,1.98,7,130.2009214270194,77.0346798909703,0.0,410.9304203876994,207.2356013179897,410.9304203876994,1,1
199,1.99,7,121.60703161244258,79.47462925187779,0.0,449.557981039467,201.08166086432038,449.557981039467,1,1
