step,time_s,ncon,A_heel_n,A_mid_n,A_toe_n,U_heel_n,U_mid_n,U_toe_n,A_total_n,U_total_n,A_heel,A_mid,A_toe,U_heel,U_mid,U_toe,A_contact,U_contact
28,0.28,1,0.0,0.0,0.0,167.04144853370312,44.805849890939456,0.0,0.0,211.8472984246426,0,0,0,1024,459,0,0,1
29,0.29,1,0.0,0.0,0.0,179.83374248630165,48.23970874956902,0.0,0.0,228.07345123587066,0,0,0,1024,494,0,0,1
30,0.3,1,0.0,0.0,0.0,170.64783002660903,45.7785907625254,0.0,0.0,216.42642078913443,0,0,0,1024,469,0,0,1
31,0.31,1,0.0,0.0,0.0,162.92032582968116,43.70823007060717,0.0,0.0,206.62855590028835,0,0,0,1024,448,0,0,1
32,0.32,1,0.0,0.0,0.0,157.80051535796747,42.33920934709374,0.0,0.0,200.1397247050612,0,0,0,1024,434,0,0,1
33,0.33,1,0.0,0.0,0.0,143.16221219003242,38.41363913487436,0.0,0.0,181.57585132490678,0,0,0,1024,393,0,0,1
34,0.34,2,0.0,0.0,0.0,267.67313080310663,72.8327201014398,104.16928886702432,0.0,444.67513977157074,0,0,0,1024,746,1024,0,1
35,0.35000000000000003,2,0.0,0.0,0.0,216.6649570988088,58.931429656487936,81.6339009365193,0.0,357.23028769181605,0,0,0,1024,603,836,0,1
36,0.36,2,0.0,0.0,0.0,144.79546473786098,39.42055457621614,58.50337684322542,0.0,242.71939615730255,0,0,0,1024,404,599,0,1
37,0.37,2,0.0,0.0,0.0,95.35303163560043,26.056052068580165,48.396332618472,0.0,169.8054163226526,0,0,0,976,267,496,0,1
38,0.38,2,0.0,0.0,0.0,71.35873699139715,19.635674756844598,50.235027048884234,0.0,141.22943879712597,0,0,0,731,201,514,0,1
39,0.39,2,0.0,0.0,0.0,64.91445478710453,17.952859051075556,54.96168028001941,0.0,137.8289941181995,0,0,0,665,184,563,0,1
40,0.4,2,0.0,0.0,0.0,70.04766131730238,19.402872447008818,62.29098689768377,0.0,151.74152066199497,0,0,0,717,199,638,0,1
41,0.41000000000000003,2,0.0,0.0,0.0,72.59646484293965,20.13875249484991,67.28585151337498,0.0,160.02106885116456,0,0,0,743,206,689,0,1
42,0.42,2,0.0,0.0,0.0,0.0,2.349168457594474,63.116387406071425,0.0,65.4655558636659,0,0,0,0,24,646,0,1
43,0.43,2,0.0,0.0,0.0,0.0,2.6526616431407475,62.867736758508464,0.0,65.52039840164922,0,0,0,0,27,644,0,1
44,0.44,2,0.0,0.0,0.0,0.0,2.5069128140822348,65.63431229171891,0.0,68.14122510580115,0,0,0,0,26,672,0,1
45,0.45,3,800.0533731763242,168.15631643189022,0.0,0.0,2.199399178992404,68.62063412730879,968.2096896082144,70.8200333063012,1024,1024,0,0,23,703,1,1
46,0.46,3,781.2149435192761,168.09031703377826,0.0,0.0,1.6282599980231138,71.2375863937957,949.3052605530543,72.8658463918188,1024,1024,0,0,17,729,1,1
47,0.47000000000000003,4,694.4058134134095,151.04585395518444,0.0,0.0,0.9212031509860715,73.75351194173379,845.4516673685939,74.67471509271986,1024,1024,0,0,9,755,1,1
48,0.48,4,587.9311800614472,128.1232307654958,0.0,0.0,0.8212976264350778,77.60769402433144,716.054410826943,78.42899165076652,1024,1024,0,0,8,795,1,1
49,0.49,4,496.2376107361184,107.71704479913886,0.0,0.0,0.9425514942047637,86.42905572346096,603.9546555352573,87.37160721766573,1024,1024,0,0,10,885,1,1
50,0.5,4,429.2117709165185,92.6142110837415,0.0,0.0,1.0799047719708221,95.15747678712903,521.82598200026,96.23738155909984,1024,948,0,0,11,974,1,1
51,0.51,2,475.4869094904844,130.22097342198126,0.0,0.0,0.644732266317093,102.4068704104098,605.7078829124656,103.05160267672689,1024,1024,0,0,7,1024,1,1
52,0.52,2,436.86865121834336,119.32318703620426,0.0,0.0,0.7578986072883345,110.8283385651214,556.1918382545476,111.58623717240974,1024,1024,0,0,8,1024,1,1
53,0.53,2,409.88406751302284,111.79389448894422,0.0,0.0,0.9052956887378065,118.70515427154575,521.6779620019671,119.61044996028356,1024,1024,0,0,9,1024,1,1
54,0.54,2,384.55531625250603,104.74001796154248,0.0,0.0,0.7730775987009223,134.27150792151392,489.2953342140485,135.04458552021484,1024,1024,0,0,8,1024,1,1
55,0.55,2,357.3007715178046,97.14947307850545,0.0,0.0,1.2021900527565927,172.89698966883842,454.4502445963101,174.09917972159502,1024,995,0,0,12,1024,1,1
56,0.56,3,378.76600616922315,129.4727877293109,65.03286961823103,0.0,1.9172810574615766,226.62740774721016,573.2716635167651,228.54468880467172,1024,1024,666,0,20,1024,1,1
57,0.5700000000000001,5,349.4252059538204,126.2527356731707,76.82433022091878,0.0,3.0210846938579605,314.29502629637295,552.5022718479099,317.3161109902309,1024,1024,787,0,31,1024,1,1
